RequestID,System,Category,ManufacturerPreference,ProductFamily,RequestedPart,MLFBOrSearchKey,PartSelection,Priority,ThreeDModel,TwoDDrawing,IECSymbol,NFPAJICSymbol,TerminalPinMap,ElectricalMacro,CableWorkbenchAsset,SourceURL,SourceBasis,VerificationStatus,DownloadStatus,Notes
CAD-0024,PLC,Analog and specialty I/O,Siemens,SIMATIC S7-1200 SM,SM 1231 RTD AI 8,6ES7231-5PF32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0025,PLC,Analog and specialty I/O,Siemens,SIMATIC S7-1200 SM,SM 1231 TC AI 4,6ES7231-5QD32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0026,PLC,Analog and specialty I/O,Siemens,SIMATIC S7-1200 SM,SM 1231 TC AI 8,6ES7231-5QF32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0027,PLC,Analog and specialty I/O,Siemens,SIMATIC S7-1200 SM,SM 1232 AQ 2,6ES7232-4HB32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0028,PLC,Analog and specialty I/O,Siemens,SIMATIC S7-1200 SM,SM 1232 AQ 4,6ES7232-4HD32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0029,PLC,Analog and specialty I/O,Siemens,SIMATIC S7-1200 SM,SM 1234 AI4/AQ2,6ES7234-4HE32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0030,PLC,Analog and specialty I/O,Siemens,SIMATIC S7-1200 SM,SM 1278 IO-Link Master,6ES7278-4BD32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0031,Safety PLC,Fail-safe I/O,Siemens,SIMATIC S7-1200 F-I/O,SM 1226 F-DI 16,6ES7226-6BA32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,Safety classification and approvals must be verified; no automatic substitution.
CAD-0032,Safety PLC,Fail-safe I/O,Siemens,SIMATIC S7-1200 F-I/O,SM 1226 F-DQ 4 24 VDC,6ES7226-6DA32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,Safety classification and approvals must be verified; no automatic substitution.
CAD-0033,Safety PLC,Fail-safe I/O,Siemens,SIMATIC S7-1200 F-I/O,SM 1226 F-DQ relay 2,6ES7226-6RA32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,Safety classification and approvals must be verified; no automatic substitution.
CAD-0034,Network,Communications,Siemens,SIMATIC NET/S7-1200,CM 1241 RS-422/485,6ES7241-1CH32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0035,Network,Communications,Siemens,SIMATIC NET/S7-1200,CM 1241 RS-232,6ES7241-1AH32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0036,Network,Communications,Siemens,SIMATIC NET/S7-1200,CP 1243-1 Security,6GK7243-1BX30-0XE0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0037,Network,Communications,Siemens,SIMATIC NET/S7-1200,CM 1242-5 PROFIBUS DP slave,6GK7242-5DX30-0XE0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0038,Network,Communications,Siemens,SIMATIC NET/S7-1200,CSM 1277 unmanaged Ethernet switch,6GK7277-1AA10-0AA0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0039,Network,Industrial Ethernet,Siemens,SIMATIC NET,SCALANCE XB005 unmanaged switch,Siemens SCALANCE XB005,Configuration required,2,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,
CAD-0040,Network,Industrial Ethernet,Siemens,SIMATIC NET,SCALANCE XB008 unmanaged switch,Siemens SCALANCE XB008,Configuration required,2,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,
CAD-0041,Network,Industrial Ethernet,Siemens,SIMATIC NET,SCALANCE XC managed switch,Siemens SCALANCE XC managed switch,Configuration required,2,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,
CAD-0042,Network,Industrial Ethernet,Siemens,SIMATIC NET,IE FC RJ45 field plug,Siemens IE FC RJ45 Plug,Configuration required,2,Required,Required,Required,Required,Required,Download if available,Required,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,
CAD-0043,Network,Industrial Ethernet,Siemens,SIMATIC NET,PROFINET M12 connector,Siemens IE M12 PROFINET,Configuration required,2,Required,Required,Required,Required,Required,Download if available,Required,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,
CAD-0044,Network,Industrial Ethernet,Siemens,SIMATIC NET,SIMATIC NET IE FC cable,Siemens SIMATIC NET IE FC cable,Configuration required,2,Required,Required,Required,Required,Required,Download if available,Required,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,
CAD-0045,Panel power,Power supply,Siemens,SIMATIC PM 1207,PM 1207 power supply,6EP1332-1SH71,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0046,Panel power,Power supply,Siemens,SITOP,SITOP PSU6200 24 VDC power supply,Siemens SITOP PSU6200 24 VDC power supply,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select exact input voltage, output current, approvals, and redundancy/selectivity configuration."
CAD-0047,Panel power,Power supply,Siemens,SITOP,SITOP PSU8200 24 VDC power supply,Siemens SITOP PSU8200 24 VDC power supply,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select exact input voltage, output current, approvals, and redundancy/selectivity configuration."
CAD-0048,Panel power,Power supply,Siemens,SITOP,SITOP PSE202U redundancy module,Siemens SITOP PSE202U redundancy module,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select exact input voltage, output current, approvals, and redundancy/selectivity configuration."
CAD-0049,Panel power,Power supply,Siemens,SITOP,SITOP PSE200U selectivity module,Siemens SITOP PSE200U selectivity module,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select exact input voltage, output current, approvals, and redundancy/selectivity configuration."
CAD-0050,Panel mains,Main disconnect,Siemens,SENTRON 3LD2,Switch disconnector,Siemens SENTRON 3LD2 Switch disconnector,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select exact poles, current, voltage, SCCR/interrupting rating, handle, shaft length, and enclosure arrangement."
CAD-0051,Panel mains,Main disconnect,Siemens,SENTRON 3LD2,Door-coupling rotary handle,Siemens SENTRON 3LD2 Door-coupling rotary handle,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select exact poles, current, voltage, SCCR/interrupting rating, handle, shaft length, and enclosure arrangement."
CAD-0052,Panel mains,Main disconnect,Siemens,SENTRON 3LD2,Extension shaft and shaft coupler,Siemens SENTRON 3LD2 Extension shaft and shaft coupler,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select exact poles, current, voltage, SCCR/interrupting rating, handle, shaft length, and enclosure arrangement."
CAD-0053,Panel mains,Main disconnect,Siemens,SENTRON 3LD2,Padlockable door interlock mechanism,Siemens SENTRON 3LD2 Padlockable door interlock mechanism,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select exact poles, current, voltage, SCCR/interrupting rating, handle, shaft length, and enclosure arrangement."
CAD-0054,Panel mains,Main disconnect,Siemens,SENTRON 3LD2,Auxiliary contact,Siemens SENTRON 3LD2 Auxiliary contact,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select exact poles, current, voltage, SCCR/interrupting rating, handle, shaft length, and enclosure arrangement."
CAD-0055,Panel mains,Main disconnect,Siemens,SENTRON 3LD2,Terminal cover,Siemens SENTRON 3LD2 Terminal cover,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select exact poles, current, voltage, SCCR/interrupting rating, handle, shaft length, and enclosure arrangement."
CAD-0056,Panel mains,Main disconnect,Siemens,SENTRON 3VA,Molded-case circuit breaker,Siemens SENTRON 3VA Molded-case circuit breaker,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select exact poles, current, voltage, SCCR/interrupting rating, handle, shaft length, and enclosure arrangement."
CAD-0057,Panel mains,Main disconnect,Siemens,SENTRON 3VA,Door-coupling operator and shaft,Siemens SENTRON 3VA Door-coupling operator and shaft,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select exact poles, current, voltage, SCCR/interrupting rating, handle, shaft length, and enclosure arrangement."
CAD-0058,Panel protection,Overcurrent and surge protection,Siemens,SENTRON 5SY,Miniature circuit breaker,Siemens SENTRON 5SY Miniature circuit breaker,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select exact voltage, current, trip/fuse class, interrupting rating, poles, and approvals."
CAD-0059,Panel protection,Overcurrent and surge protection,Siemens,SENTRON 3VA,Molded-case circuit breaker,Siemens SENTRON 3VA Molded-case circuit breaker,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select exact voltage, current, trip/fuse class, interrupting rating, poles, and approvals."
CAD-0060,Panel protection,Overcurrent and surge protection,Siemens,SIRIUS 3RV2,Motor starter protector,Siemens SIRIUS 3RV2 Motor starter protector,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select exact voltage, current, trip/fuse class, interrupting rating, poles, and approvals."
CAD-0061,Panel protection,Overcurrent and surge protection,Siemens,SENTRON 3NA,NH fuse,Siemens SENTRON 3NA NH fuse,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select exact voltage, current, trip/fuse class, interrupting rating, poles, and approvals."
CAD-0062,Panel protection,Overcurrent and surge protection,Siemens,SITOR 3NE,Semiconductor-protection fuse,Siemens SITOR 3NE Semiconductor-protection fuse,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select exact voltage, current, trip/fuse class, interrupting rating, poles, and approvals."
CAD-0063,Panel protection,Overcurrent and surge protection,Siemens,SENTRON 3NP,Fuse switch disconnector,Siemens SENTRON 3NP Fuse switch disconnector,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select exact voltage, current, trip/fuse class, interrupting rating, poles, and approvals."
CAD-0064,Panel protection,Overcurrent and surge protection,Siemens,SENTRON 3NW,Cylindrical fuse holder and fuse,Siemens SENTRON 3NW Cylindrical fuse holder and fuse,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select exact voltage, current, trip/fuse class, interrupting rating, poles, and approvals."
CAD-0065,Panel protection,Overcurrent and surge protection,Siemens,SENTRON 5SD7,Surge-protection device,Siemens SENTRON 5SD7 Surge-protection device,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select exact voltage, current, trip/fuse class, interrupting rating, poles, and approvals."
CAD-0066,Motor control,Contactors and overloads,Siemens,SIRIUS 3RT2/3RT7,Motor contactor,Siemens SIRIUS 3RT2/3RT7 Motor contactor,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select using motor FLA, line voltage, utilization category, coil voltage, SCCR, and coordination type."
CAD-0067,Motor control,Contactors and overloads,Siemens,SIRIUS 3RA,Reversing contactor assembly,Siemens SIRIUS 3RA Reversing contactor assembly,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select using motor FLA, line voltage, utilization category, coil voltage, SCCR, and coordination type."
CAD-0068,Motor control,Contactors and overloads,Siemens,SIRIUS 3RA,Star-delta starter assembly,Siemens SIRIUS 3RA Star-delta starter assembly,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select using motor FLA, line voltage, utilization category, coil voltage, SCCR, and coordination type."
CAD-0069,Motor control,Contactors and overloads,Siemens,SIRIUS 3RH2/3RH7,Intermediate/control relay,Siemens SIRIUS 3RH2/3RH7 Intermediate/control relay,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select using motor FLA, line voltage, utilization category, coil voltage, SCCR, and coordination type."
CAD-0070,Motor control,Contactors and overloads,Siemens,SIRIUS 3RU2/3RU7,Thermal overload relay,Siemens SIRIUS 3RU2/3RU7 Thermal overload relay,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select using motor FLA, line voltage, utilization category, coil voltage, SCCR, and coordination type."
CAD-0071,Motor control,Contactors and overloads,Siemens,SIRIUS 3RB3,Electronic overload relay,Siemens SIRIUS 3RB3 Electronic overload relay,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select using motor FLA, line voltage, utilization category, coil voltage, SCCR, and coordination type."
CAD-0072,Motor control,Contactors and overloads,Siemens,SIRIUS 3RA6,Compact starter,Siemens SIRIUS 3RA6 Compact starter,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select using motor FLA, line voltage, utilization category, coil voltage, SCCR, and coordination type."
CAD-0073,Motor control,Contactors and overloads,Siemens,SIRIUS 3RQ3,Coupling/interface relay,Siemens SIRIUS 3RQ3 Coupling/interface relay,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select using motor FLA, line voltage, utilization category, coil voltage, SCCR, and coordination type."
CAD-0074,Motor control,Contactors and overloads,Siemens,SIRIUS,Auxiliary contact block,Siemens SIRIUS Auxiliary contact block,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select using motor FLA, line voltage, utilization category, coil voltage, SCCR, and coordination type."
CAD-0075,Motor control,Contactors and overloads,Siemens,SIRIUS,Coil surge suppressor,Siemens SIRIUS Coil surge suppressor,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select using motor FLA, line voltage, utilization category, coil voltage, SCCR, and coordination type."
CAD-0076,Motor control,Contactors and overloads,Siemens,SIRIUS,Mechanical/electrical interlock,Siemens SIRIUS Mechanical/electrical interlock,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select using motor FLA, line voltage, utilization category, coil voltage, SCCR, and coordination type."
CAD-0077,Motor control,Contactors and overloads,Siemens,SIRIUS,Busbar or link module,Siemens SIRIUS Busbar or link module,Configuration required,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,"Select using motor FLA, line voltage, utilization category, coil voltage, SCCR, and coordination type."
